Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S1016,Maria,Jones,student16@university.com,Female,21,Business,63.61,70.2,70.52,68.39,55.13,92.1,66.35,68.44149999999999,D,24.5,No,Yes,High School,High,8,6.7
S1017,Liam,Davis,student17@university.com,Female,23,CS,54.04,59.73,56.66,75.29,99.99,29.3,64.97,65.373,D,27.5,No,No,Bachelor's,Medium,8,7.4
S1018,Liam,Jones,student18@university.com,Male,20,Business,82.84,79.77,58.18,81.04,58.22,5.699999999999999,55.52,61.4295,D,9.2,Yes,Yes,High School,High,8,7.3
S1019,John,Johnson,student19@university.com,Male,20,CS,82.69,99.7,53.43,94.68,83.73,91.6,82.56,80.2355,B,23.3,No,Yes,Master's,Low,5,7.9
S1020,Emma,Davis,student20@university.com,Male,18,Business,54.75,41.53,48.7,59.61,97.45,21.7,99.6,68.05599999999998,D,23.8,No,No,PhD,High,2,7.1
S1021,Ahmed,Jones,student21@university.com,Male,22,Business,65.94,93.99,51.07,54.35,68.11,37.9,95.05,72.2395,C,8.8,No,No,None,High,10,8.4
S1022,Sara,Davis,student22@university.com,Male,22,Business,99.64,40.24,43.79,81.36,86.72,53.1,62.64,59.3065,F,27.7,No,Yes,PhD,Low,8,7.5
S1023,Liam,Williams,student23@university.com,Female,23,CS,83.92,61.85,93.31,69.71,67.54,97.6,88.5,81.2455,B,5.2,Yes,Yes,Bachelor's,Low,4,8.6
S1024,Maria,Williams,student24@university.com,Female,20,Business,86.5,50.12,95.86,58.15,65.25,53.5,96.84,78.4575,C,15.9,No,Yes,None,Low,9,7.8
S1025,Emma,Davis,student25@university.com,Male,18,Mathematics,60.65,85.44,75.21,55.85,60.09,44.8,95.32,76.841,C,5.5,No,No,PhD,Medium,10,7.7
S1026,Emma,Johnson,student26@university.com,Male,18,Business,53.94,43.04,90.43,77.95,91.05,58.4,94.23,81.05000000000001,B,18.1,No,No,PhD,High,6,8.3
S1027,Sara,Johnson,student27@university.com,Male,18,Engineering,63.85,73.21,51.01,65.02,62.87,97.1,89.32,71.42499999999998,C,15.3,No,Yes,High School,High,10,7.3
S1028,Liam,Davis,student28@university.com,Female,21,Engineering,62.44,57.7,94.1,99.87,64.16,81.8,64.65,77.0615,C,20.6,Yes,No,Master's,Low,7,4.9
S1029,Maria,Jones,student29@university.com,Female,23,Mathematics,61.73,48.02,70.38,70.3,99.95,16.9,54.18,62.43699999999999,D,24.2,Yes,Yes,PhD,Low,3,4.4
S1030,Ahmed,Brown,student30@university.com,Female,22,Business,59.64,86.31,44.03,60.61,66.37,80.3,74.39,66.0145,D,24.2,Yes,Yes,None,Medium,2,5.6
S1031,Ali,Johnson,student31@university.com,Male,22,Engineering,78.74,53.05,48.48,81.44,71.14,84.1,52.74,59.4345,F,23.1,Yes,No,Master's,Low,2,8.1
S1032,Maria,Smith,student32@university.com,Female,21,Business,66.41,53.42,58.54,62.21,99.5,69.1,99.92,75.3605,C,7.5,Yes,No,Master's,Medium,3,4.1
S1033,Sara,Williams,student33@university.com,Male,19,Engineering,91.02,56.5,42.61,74.7,68.47,65.7,67.92,60.840500000000006,D,15.4,No,No,None,Medium,7,4.8
S1034,Emma,Davis,student34@university.com,Female,21,CS,59.2,75.21,58.56,74.13,68.31,44.1,97.92,75.453,C,25.4,No,Yes,Master's,Medium,8,4.5
S1035,Ahmed,Smith,student35@university.com,Female,23,CS,73.23,79.58,43.6,72.68,91.39,64.2,88.66,72.686,C,21.4,No,No,Bachelor's,Low,4,4.2
S1036,Maria,Davis,student36@university.com,Female,18,Mathematics,50.68,41.06,54.16,89.8,65.6,73.8,70.56,64.58699999999999,D,22.0,Yes,Yes,Master's,High,3,8.1
S1037,Ali,Williams,student37@university.com,Male,21,Mathematics,74.08,54.51,55.94,60.83,61.69,12.3,55.92,54.846000000000004,F,10.7,Yes,Yes,High School,Low,7,5.4
S1038,Ali,Williams,student38@university.com,Male,18,Business,52.79,65.86,99.66,95.22,71.16,25.7,61.86,76.036,C,13.1,Yes,No,Master's,High,3,7.6
S1039,John,Johnson,student39@university.com,Female,23,Mathematics,98.89,59.92,54.13,89.57,85.03,19.4,83.65,70.524,C,28.9,No,No,PhD,Low,8,4.7
S1040,John,Johnson,student40@university.com,Male,24,Business,89.53,93.05,54.35,66.66,52.16,84.1,91.5,74.41499999999999,C,26.2,Yes,No,Master's,Medium,4,6.0
S1041,Omar,Smith,student41@university.com,Male,23,CS,74.51,87.26,81.21,59.03,68.7,68.0,98.97,82.207,B,9.1,Yes,Yes,High School,High,8,4.6
S1042,Sara,Davis,student42@university.com,Male,20,CS,54.33,77.55,91.56,63.98,67.31,45.1,56.61,70.08850000000001,C,18.6,No,No,High School,Low,2,4.0
S1043,Liam,Williams,student43@university.com,Male,18,Engineering,79.62,60.28,63.22,66.63,62.24,82.6,57.8,62.5355,D,17.3,Yes,Yes,Master's,Low,8,7.1
S1044,Maria,Smith,student44@university.com,Male,22,Business,87.94,82.04,92.54,77.85,82.71,71.7,52.12,74.6105,C,16.1,No,Yes,Bachelor's,High,8,6.4
S1045,Maria,Brown,student45@university.com,Male,21,CS,59.54,90.62,60.41,52.32,64.5,91.4,63.02,66.46950000000001,D,16.8,Yes,Yes,Master's,Medium,10,6.1
S1046,Liam,Smith,student46@university.com,Male,24,CS,78.41,75.69,51.82,95.72,80.34,7.7,91.05,74.4005,C,21.1,Yes,No,None,Medium,3,4.4
S1047,Omar,Jones,student47@university.com,Female,23,Business,90.71,87.07,59.78,54.93,75.22,50.9,59.91,64.285,D,29.2,No,No,High School,High,2,6.9
S1048,Emma,Smith,student48@university.com,Male,18,Engineering,88.41,84.95,76.56,63.96,60.86,70.7,77.39,74.3145,C,26.9,No,No,Master's,Low,7,7.9
S1049,Emma,Jones,student49@university.com,Male,24,Engineering,90.15,74.3,62.03,55.46,63.33,20.7,72.32,64.03549999999998,D,26.9,No,Yes,Bachelor's,Medium,9,4.3
S1050,Omar,Jones,student50@university.com,Female,19,Engineering,93.97,58.73,80.37,62.83,58.53,32.7,66.29,65.70150000000001,D,22.6,Yes,Yes,Bachelor's,Low,10,6.1
S1051,Emma,Jones,student51@university.com,Female,20,Engineering,96.88,84.75,54.22,91.88,52.83,41.900000000000006,80.92,71.70349999999999,C,5.4,No,Yes,Bachelor's,Medium,1,5.6
S1052,John,Brown,student52@university.com,Female,19,CS,70.28,52.41,82.06,80.76,80.96,79.4,75.12,75.0925,C,16.0,Yes,No,PhD,Low,5,8.5
S1053,Maria,Smith,student53@university.com,Female,23,Business,78.44,86.77,60.85,61.37,83.64,49.400000000000006,66.74,68.2895,D,17.8,No,No,PhD,Medium,3,5.3
S1054,Omar,Smith,student54@university.com,Male,19,Business,89.53,88.27,67.35,93.59,58.3,49.3,84.44,77.74349999999998,C,26.1,Yes,Yes,PhD,Low,9,8.7
S1055,Maria,Brown,student55@university.com,Female,19,CS,84.86,89.33,73.46,90.04,80.77,43.1,64.0,74.7025,C,28.1,No,Yes,None,Low,8,8.1
S1056,Liam,Williams,student56@university.com,Female,20,CS,99.78,68.37,81.17,87.68,99.1,22.9,82.16,79.403,C,16.3,No,Yes,None,Medium,9,4.5
S1057,Ali,Johnson,student57@university.com,Male,20,CS,50.68,51.55,54.32,92.38,53.72,92.3,97.86,74.5145,C,12.5,Yes,Yes,Master's,Medium,9,6.4
S1058,John,Smith,student58@university.com,Male,20,Mathematics,67.76,45.98,90.16,80.98,74.52,31.8,86.45,76.56099999999999,C,13.4,No,Yes,PhD,Low,10,7.2
S1059,Ahmed,Johnson,student59@university.com,Male,24,Business,64.05,84.6,83.31,75.07,86.65,56.7,70.92,77.554,C,19.5,No,Yes,PhD,High,3,7.0
S1060,John,Davis,student60@university.com,Female,20,Business,63.12,93.18,54.05,68.7,52.3,14.9,87.38,69.98349999999999,D,11.9,Yes,No,None,Low,7,7.4
S1061,Omar,Davis,student61@university.com,Male,19,Business,61.13,79.05,98.5,61.19,88.91,43.4,90.46,83.86,B,27.8,Yes,Yes,Bachelor's,High,5,6.1
S1062,Ahmed,Brown,student62@university.com,Female,22,Engineering,85.46,48.65,79.89,77.87,98.98,90.4,66.29,73.25550000000001,C,15.5,Yes,No,Bachelor's,Medium,6,8.5
S1063,Ali,Davis,student63@university.com,Male,22,CS,54.24,96.09,67.15,94.47,54.42,99.5,85.26,81.3665,B,29.8,Yes,Yes,High School,High,8,5.4
S1064,Omar,Davis,student64@university.com,Male,20,CS,87.08,99.35,49.45,79.7,91.11,36.2,71.72,71.65700000000001,C,7.7,No,Yes,Master's,Low,10,4.5
S1065,Sara,Williams,student65@university.com,Female,24,CS,84.67,66.0,71.99,95.98,68.93,15.4,90.93,77.2365,C,9.7,No,No,Master's,Medium,8,8.9
S1066,Maria,Williams,student66@university.com,Male,21,Mathematics,62.54,75.69,49.89,67.85,57.21,31.4,64.77,60.725500000000004,D,17.8,Yes,No,PhD,Medium,7,7.3
S1067,Ali,Williams,student67@university.com,Male,18,Business,62.64,86.63,65.77,84.76,74.66,32.7,96.89,80.31899999999999,B,26.7,Yes,No,None,High,1,7.3
S1068,Maria,Davis,student68@university.com,Male,23,CS,81.44,84.18,64.52,82.43,53.58,64.5,78.74,73.3265,C,13.8,Yes,No,Master's,Medium,1,8.1
S1069,Emma,Brown,student69@university.com,Male,24,Mathematics,88.11,98.07,83.2,83.52,76.11,49.6,67.67,78.43050000000001,C,25.9,No,Yes,Bachelor's,High,6,6.1
S1070,Sara,Jones,student70@university.com,Male,21,CS,93.82,46.89,51.54,82.25,50.97,76.8,70.97,62.483999999999995,D,15.6,No,Yes,None,Low,9,5.9
S1071,Sara,Jones,student71@university.com,Female,23,Engineering,92.61,74.84,89.31,61.08,86.43,70.1,67.39,75.0805,C,26.3,Yes,Yes,PhD,Medium,8,8.7
S1072,Ali,Johnson,student72@university.com,Female,21,Business,98.24,81.52,59.57,57.18,74.4,25.1,57.31,61.58550000000001,D,11.9,No,Yes,PhD,Low,1,5.9
S1073,Sara,Jones,student73@university.com,Male,21,Mathematics,79.07,93.41,66.64,98.93,72.95,78.4,53.42,72.75200000000001,C,16.8,Yes,No,Master's,High,8,4.4
S1074,Ahmed,Jones,student74@university.com,Female,22,CS,95.43,92.45,86.34,52.26,59.81,84.7,66.09,73.3345,C,12.0,No,Yes,Master's,High,5,5.5
S1075,Sara,Williams,student75@university.com,Female,18,Business,90.43,98.68,77.52,73.39,68.06,59.8,72.93,76.8655,C,10.4,No,No,High School,Low,2,8.4
S1076,Maria,Williams,student76@university.com,Female,21,Mathematics,94.73,70.72,58.48,71.25,59.09,92.8,68.09,66.8915,D,15.5,No,Yes,Master's,High,7,4.5
S1077,Maria,Davis,student77@university.com,Male,20,Business,50.58,89.85,63.17,68.0,86.77,78.3,50.7,67.27199999999999,D,13.4,Yes,Yes,Master's,High,2,7.6
S1078,Omar,Johnson,student78@university.com,Male,23,Business,98.3,65.64,58.35,89.1,59.95,59.5,78.95,70.4535,C,24.7,Yes,No,Bachelor's,Low,4,5.3
S1079,Maria,Smith,student79@university.com,Male,24,Engineering,73.68,65.34,75.69,87.27,80.84,90.6,57.24,71.60000000000001,C,23.7,Yes,Yes,Bachelor's,Low,4,7.7
S1080,Omar,Johnson,student80@university.com,Female,22,Business,89.91,55.2,59.96,95.26,63.98,60.0,60.55,65.12199999999999,D,14.0,No,Yes,None,Medium,5,6.6
S1081,Maria,Johnson,student81@university.com,Female,23,Mathematics,56.36,89.09,83.54,69.77,82.85,52.1,56.04,72.416,C,29.8,No,No,Master's,Medium,6,7.2
S1082,Ahmed,Brown,student82@university.com,Male,20,Business,69.8,99.15,74.79,78.21,77.02,35.6,76.02,77.58949999999999,C,29.3,Yes,Yes,Master's,Low,2,5.2
S1083,Liam,Davis,student83@university.com,Male,20,Mathematics,63.57,55.38,48.74,94.62,71.17,88.3,54.76,62.645,D,27.9,Yes,Yes,PhD,Medium,8,4.8
S1084,Omar,Brown,student84@university.com,Female,21,Business,64.58,43.37,58.62,99.69,83.65,12.3,62.82,63.94,D,19.7,Yes,Yes,Bachelor's,High,9,4.3
S1085,John,Johnson,student85@university.com,Female,20,CS,56.16,88.93,53.29,98.46,70.79,47.400000000000006,72.59,72.657,C,15.3,No,No,PhD,Medium,3,8.1
S1086,Emma,Johnson,student86@university.com,Male,18,Engineering,90.29,77.21,63.42,85.89,91.07,53.7,58.39,69.629,D,12.8,No,No,Master's,Medium,7,7.6
S1087,Ali,Johnson,student87@university.com,Female,20,CS,50.46,97.58,70.96,57.16,86.48,55.5,72.31,74.067,C,5.4,No,Yes,Bachelor's,High,4,5.5
S1088,Maria,Jones,student88@university.com,Female,21,Engineering,65.63,55.13,70.41,51.16,77.03,65.19999999999999,67.14,64.651,D,20.8,No,Yes,Master's,Low,10,8.2
S1089,Sara,Brown,student89@university.com,Female,23,Mathematics,58.72,44.26,85.27,91.26,93.85,50.6,93.03,81.4695,B,18.8,Yes,Yes,High School,High,4,8.2
S1090,Liam,Johnson,student90@university.com,Female,20,Engineering,79.45,69.55,51.35,92.05,91.44,25.7,89.75,74.4315,C,20.7,No,Yes,PhD,Medium,1,4.7
S1091,Maria,Williams,student91@university.com,Female,22,Business,62.71,45.13,96.79,87.32,76.59,85.7,99.64,85.901,B,19.4,Yes,No,Bachelor's,High,5,7.6
S1092,Sara,Davis,student92@university.com,Female,24,Business,62.95,55.71,60.57,64.0,53.42,65.8,76.45,64.666,D,8.4,No,No,Bachelor's,Low,6,5.5
S1093,Emma,Davis,student93@university.com,Female,22,CS,74.42,47.56,58.01,81.99,78.3,85.8,78.77,69.68599999999999,D,22.4,Yes,No,Master's,Medium,5,6.3
S1094,Emma,Williams,student94@university.com,Male,22,Engineering,82.63,53.45,81.11,65.81,67.76,27.6,97.33,75.5215,C,14.0,Yes,Yes,Master's,Low,6,6.2
S1095,Emma,Davis,student95@university.com,Male,23,Mathematics,56.07,46.37,88.33,72.53,77.01,63.7,69.98,71.79750000000001,C,17.9,No,No,None,Low,3,7.0
S1096,Sara,Jones,student96@university.com,Female,19,Mathematics,58.78,97.23,62.71,69.12,82.36,71.39999999999999,77.78,75.77,C,14.1,No,No,None,High,2,5.7
S1097,Maria,Jones,student97@university.com,Female,24,Business,62.36,56.71,84.81,95.68,82.24,38.3,68.95,74.88499999999999,C,5.5,No,Yes,PhD,Low,5,4.4
S1098,Emma,Smith,student98@university.com,Female,22,Mathematics,98.69,66.63,93.02,61.71,83.68,81.19999999999999,77.29,78.12100000000001,C,26.9,No,No,Bachelor's,High,6,7.4
S1099,Ahmed,Smith,student99@university.com,Male,22,Business,69.86,93.92,86.01,78.88,83.96,0.3,54.04,72.0455,C,8.7,Yes,Yes,Master's,High,10,8.8
S1100,Omar,Smith,student100@university.com,Male,19,Business,79.95,80.64,42.05,68.05,55.46,59.5,89.19,68.094,D,19.6,No,Yes,PhD,Medium,6,7.3
S1101,Sara,Davis,student101@university.com,Female,23,Business,62.08,77.08,89.64,83.15,59.59,61.4,99.26,85.25150000000001,B,27.1,No,Yes,Bachelor's,Low,5,6.7
S1102,Sara,Jones,student102@university.com,Male,24,CS,74.52,82.33,86.47,78.23,81.53,53.4,53.29,72.5115,C,10.5,No,No,Master's,Low,2,4.8
S1103,Maria,Jones,student103@university.com,Female,22,CS,53.71,89.73,80.16,96.2,70.41,63.0,90.05,85.1355,B,15.3,No,No,None,Low,1,7.1
S1104,Sara,Jones,student104@university.com,Female,21,Business,51.74,92.66,85.6,55.08,88.14,16.7,62.09,71.837,C,14.4,No,Yes,Bachelor's,Low,10,7.1
S1105,Sara,Williams,student105@university.com,Female,23,Business,73.44,78.56,98.77,61.03,56.25,68.5,59.88,72.645,C,7.2,No,No,Master's,Low,6,7.1
S1106,Emma,Jones,student106@university.com,Female,24,Business,69.93,93.4,65.87,88.32,59.58,33.6,84.67,76.7645,C,15.6,Yes,No,PhD,High,1,8.5
S1107,Maria,Williams,student107@university.com,Female,22,Mathematics,56.84,72.12,44.03,68.44,77.92,45.2,52.21,57.8065,F,17.0,Yes,Yes,PhD,Medium,1,7.6
S1108,Emma,Smith,student108@university.com,Female,22,Business,84.38,56.64,67.65,58.29,75.04,33.3,73.16,65.269,D,5.7,Yes,No,High School,Medium,6,7.9
S1109,Omar,Smith,student109@university.com,Female,19,Business,99.65,92.8,42.79,75.17,63.32,47.400000000000006,50.07,59.616,F,17.2,No,No,Bachelor's,Low,1,5.6
S1110,Liam,Davis,student110@university.com,Male,24,Engineering,69.78,72.49,57.66,82.61,70.42,62.2,77.72,71.148,C,7.3,Yes,Yes,PhD,High,2,5.4
S1111,Omar,Smith,student111@university.com,Female,21,Engineering,81.23,94.37,75.21,52.24,51.75,83.80000000000001,73.1,72.08899999999998,C,27.3,No,Yes,Bachelor's,High,1,5.0
S1112,Liam,Davis,student112@university.com,Male,23,Engineering,98.15,42.41,58.58,64.58,51.85,48.3,95.77,67.0245,D,21.3,Yes,No,PhD,Low,7,7.9
S1113,Emma,Johnson,student113@university.com,Female,20,Engineering,91.58,63.85,81.12,90.47,54.75,32.3,86.01,76.321,C,6.4,Yes,Yes,Bachelor's,Medium,4,7.5
S1114,Omar,Johnson,student114@university.com,Female,18,Business,73.18,96.87,89.32,76.01,78.84,48.8,56.3,75.476,C,25.7,No,Yes,Bachelor's,Low,4,5.7
S1115,Maria,Brown,student115@university.com,Male,21,Engineering,86.87,54.98,65.23,51.77,93.19,68.89999999999999,67.73,65.403,D,14.0,Yes,Yes,Bachelor's,High,4,4.7
S1116,Ali,Davis,student116@university.com,Male,20,Mathematics,56.41,96.49,94.01,64.1,63.01,34.7,96.58,84.601,B,10.6,No,No,High School,Low,5,8.2
S1117,Emma,Brown,student117@university.com,Female,21,Mathematics,75.61,97.23,44.79,81.96,51.7,41.4,86.27,71.197,C,11.3,No,Yes,None,Low,9,5.9
S1118,Liam,Brown,student118@university.com,Male,24,Engineering,63.95,92.93,90.41,59.97,85.43,56.3,79.71,80.8085,B,19.9,Yes,Yes,Bachelor's,Low,5,4.9
S1119,Ahmed,Johnson,student119@university.com,Female,20,CS,58.06,73.82,89.71,91.37,92.77,29.4,77.95,81.338,B,7.0,Yes,No,None,High,10,4.7
S1120,Liam,Davis,student120@university.com,Female,24,Mathematics,71.31,78.82,59.32,83.83,56.91,20.9,69.9,66.93350000000001,D,6.5,Yes,No,None,Medium,2,8.6
S1121,Ahmed,Johnson,student121@university.com,Male,20,Mathematics,56.55,92.18,57.92,73.57,69.29,14.0,79.26,70.74950000000001,C,20.7,Yes,No,None,Low,8,4.7
S1122,Sara,Brown,student122@university.com,Male,21,Engineering,84.95,86.55,58.31,95.78,57.94,35.3,88.58,76.06,C,29.5,Yes,No,PhD,Medium,8,5.8
S1123,Omar,Davis,student123@university.com,Male,19,Engineering,72.81,77.81,88.68,69.59,55.32,4.8,56.38,66.96600000000001,D,17.1,No,Yes,Master's,Medium,9,7.2
S1124,Ahmed,Brown,student124@university.com,Male,21,Business,76.56,98.94,89.9,61.75,82.41,58.3,98.49,87.2815,B,15.3,Yes,No,None,High,4,6.0
S1125,Liam,Jones,student125@university.com,Female,24,Mathematics,57.32,81.14,59.78,83.07,98.38,17.6,61.97,68.8855,D,28.7,No,Yes,Bachelor's,Low,3,6.4
S1126,Sara,Davis,student126@university.com,Male,21,Engineering,56.99,98.53,75.56,78.66,83.91,37.7,72.39,77.4615,C,11.0,No,Yes,Master's,Low,10,8.0
S1127,Ali,Davis,student127@university.com,Male,20,Engineering,79.17,43.44,48.34,66.76,99.24,26.9,51.14,55.226,F,11.0,No,No,PhD,Medium,6,9.0
S1128,Maria,Brown,student128@university.com,Male,18,Business,99.25,48.34,68.13,67.18,71.72,63.0,77.52,67.93849999999999,D,27.6,Yes,No,High School,Medium,1,6.3
S1129,Maria,Jones,student129@university.com,Male,20,Mathematics,54.81,67.09,99.93,69.91,94.89,85.0,69.09,79.9985,C,21.2,Yes,No,None,Medium,6,5.9
S1130,Maria,Williams,student130@university.com,Male,22,Engineering,64.29,63.09,49.53,64.56,60.25,63.3,62.49,59.467,F,6.3,Yes,Yes,None,High,5,6.0
S1131,Ahmed,Johnson,student131@university.com,Female,21,Business,93.47,86.96,96.85,85.51,55.9,54.3,99.28,88.172,B,21.8,No,Yes,PhD,High,1,5.8
S1132,Ali,Brown,student132@university.com,Female,23,Engineering,53.61,49.64,89.46,82.57,85.13,66.9,71.41,75.47749999999999,C,25.5,Yes,No,Bachelor's,Medium,6,6.4
S1133,Ahmed,Davis,student133@university.com,Male,21,CS,93.79,98.57,98.33,72.04,68.57,3.0,70.71,78.39399999999999,C,11.8,Yes,Yes,Bachelor's,High,3,5.7
S1134,Omar,Johnson,student134@university.com,Male,19,CS,76.21,58.9,50.77,69.89,65.88,12.3,73.16,61.16199999999999,D,14.6,Yes,Yes,Master's,High,8,6.3
S1135,Ahmed,Johnson,student135@university.com,Female,24,Engineering,70.41,65.74,52.81,68.25,83.56,9.5,55.81,58.875,F,9.9,No,No,Master's,High,3,8.7
S1136,Ali,Johnson,student136@university.com,Male,23,Mathematics,65.48,56.48,41.01,64.17,66.67,9.8,69.65,56.402,F,20.8,No,No,Bachelor's,Low,3,5.4
S1137,Ali,Williams,student137@university.com,Female,20,CS,64.86,74.76,83.48,54.28,78.63,26.0,66.82,69.43499999999999,D,21.6,Yes,No,High School,High,7,7.3
S1138,Omar,Smith,student138@university.com,Female,19,Business,65.29,43.52,78.65,63.41,64.97,53.2,73.26,66.83699999999999,D,6.7,Yes,No,Bachelor's,Medium,1,6.4
S1139,Ali,Brown,student139@university.com,Male,21,Engineering,94.24,48.98,50.68,66.06,89.19,11.5,92.83,67.269,D,21.9,Yes,Yes,High School,Low,10,7.7
S1140,Liam,Smith,student140@university.com,Female,20,Business,86.19,84.75,87.47,77.38,65.62,93.5,59.64,75.31599999999999,C,21.5,No,No,PhD,Medium,10,6.4
S1141,Ali,Smith,student141@university.com,Male,20,CS,83.49,51.19,57.95,88.69,76.75,85.39999999999999,80.39,71.5315,C,5.9,Yes,No,High School,High,8,4.8
S1142,Maria,Smith,student142@university.com,Male,22,Mathematics,89.94,54.13,48.1,69.79,51.16,97.2,51.88,56.153,F,18.9,No,Yes,PhD,Medium,4,8.4
S1143,Liam,Johnson,student143@university.com,Female,22,Business,62.86,87.58,65.35,97.24,89.59,4.3,65.84,72.9865,C,20.3,No,No,None,Medium,5,7.4
S1144,Liam,Jones,student144@university.com,Female,18,CS,80.9,45.6,45.46,91.37,81.02,85.1,73.63,66.35650000000001,D,15.8,No,Yes,Bachelor's,High,5,6.6
S1145,Omar,Johnson,student145@university.com,Male,22,CS,73.0,66.25,55.79,99.24,59.61,80.39999999999999,53.71,64.865,D,27.5,No,Yes,Master's,Medium,4,8.2
S1146,John,Johnson,student146@university.com,Female,24,CS,89.12,41.38,62.28,93.81,60.77,90.2,77.2,69.5955,D,13.2,No,Yes,None,High,1,8.9
S1147,John,Davis,student147@university.com,Male,23,Business,65.46,60.81,91.11,80.84,63.12,52.8,65.52,72.633,C,6.7,No,Yes,Master's,High,3,6.0
S1148,Ali,Davis,student148@university.com,Female,20,CS,82.16,81.94,87.55,79.92,78.83,78.8,99.64,87.8815,B,21.8,Yes,No,High School,High,8,5.8
S1149,Liam,Smith,student149@university.com,Female,22,Engineering,94.11,45.41,66.57,56.48,77.42,5.1,81.55,64.38799999999999,D,20.1,No,Yes,Bachelor's,Medium,2,7.8
S1150,John,Johnson,student150@university.com,Male,18,CS,70.11,93.3,83.47,86.12,63.69,7.6,62.21,73.1925,C,29.7,No,No,Bachelor's,Medium,8,6.3
S1151,John,Smith,student151@university.com,Male,21,Engineering,53.33,94.57,74.12,80.01,84.7,11.9,55.13,70.321,C,10.8,No,Yes,Bachelor's,Medium,4,4.4
S1152,Ali,Davis,student152@university.com,Male,23,Mathematics,75.8,46.3,60.45,75.35,94.45,91.5,52.04,62.992000000000004,D,14.9,Yes,Yes,None,Low,9,5.8
S1153,John,Jones,student153@university.com,Female,22,Engineering,67.3,99.44,83.55,84.66,52.18,6.1,54.54,70.3875,C,16.5,No,No,PhD,Medium,8,8.0
S1154,Ahmed,Brown,student154@university.com,Male,20,Mathematics,83.61,57.85,81.01,72.2,70.86,10.0,84.0,72.54599999999999,C,26.5,No,Yes,High School,High,8,7.5
