Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S1048,Emma,Smith,student48@university.com,Male,18,Engineering,96.39,78.03,60.53,76.2,61.95,2.86,65.6,99.05,B,10.3,No,Yes,Master's,Medium,10,6.6
S1049,Emma,Jones,student49@university.com,Male,24,CS,81.45,75.43,47.09,60.31,77.78,3.68,82.23,77.03,B,13.4,No,Yes,Master's,Low,1,7.8
S1050,Omar,Jones,student50@university.com,Female,19,CS,89.49,79.12,68.54,91.91,91.45,9.32,62.06,61.9,A,17.6,No,Yes,,Low,10,7.7
S1051,Emma,Jones,student51@university.com,Female,20,CS,58.58,41.56,63.98,99.98,93.64,8.47,68.43,96.39,D,19.6,Yes,Yes,PhD,Medium,7,4.1
S1052,John,Brown,student52@university.com,Female,19,CS,60.6,72.92,83.31,66.12,64.37,8.52,89.62,84.95,B,13.1,No,Yes,,Low,3,5.0
S1053,Maria,Smith,student53@university.com,Female,23,Engineering,76.6,75.7,97.18,92.12,55.21,5.78,75.06,97.95,C,13.9,No,Yes,High School,Medium,5,8.4
S1054,Omar,Smith,student54@university.com,Male,19,Business,,52.45,85.21,93.65,61.64,8.66,92.48,82.55,B,5.3,No,Yes,High School,Medium,8,6.8
S1055,Maria,Brown,student55@university.com,Female,19,Business,81.75,52.5,50.77,,97.27,7.79,81.44,88.76,A,5.1,No,Yes,,Medium,2,7.4
S1056,Liam,Williams,student56@university.com,Female,20,CS,64.58,56.57,96.13,67.14,73.12,9.53,81.45,94.53,F,27.7,No,Yes,Bachelor's,Low,4,6.0
S1057,Ali,Johnson,student57@university.com,Male,20,CS,89.58,82.7,63.53,87.8,70.93,0.64,51.69,87.96,A,5.4,Yes,Yes,None,Low,9,7.7
S1058,John,Smith,student58@university.com,Male,20,Mathematics,90.41,76.38,68.45,61.44,50.65,0.29,87.48,78.13,B,5.8,Yes,Yes,,High,2,5.4
S1059,Ahmed,Johnson,student59@university.com,Male,24,CS,73.19,90.75,65.29,81.24,52.55,1.75,98.89,73.6,F,10.1,No,No,Master's,Medium,8,5.2
S1060,John,Davis,student60@university.com,Female,20,Business,59.04,57.74,56.83,85.24,83.43,9.29,73.65,91.17,D,23.6,No,Yes,None,Low,9,9.0
S1061,Omar,Davis,student61@university.com,Male,19,CS,82.34,94.72,93.7,,79.49,6.06,57.93,88.6,B,22.0,No,Yes,,Low,3,4.8
S1062,Ahmed,Brown,student62@university.com,Female,22,Mathematics,99.64,84.62,59.93,60.36,78.78,4.26,98.85,68.32,A,21.2,Yes,Yes,PhD,Medium,5,8.9
S1063,Ali,Davis,student63@university.com,Male,22,CS,81.13,63.7,74.72,92.44,55.52,5.13,64.51,74.92,F,19.4,No,Yes,Bachelor's,Medium,4,8.6
S1064,Omar,Davis,student64@university.com,Male,20,Engineering,51.79,45.72,54.4,71.05,67.6,8.3,70.46,81.75,C,10.0,No,Yes,Master's,Low,10,7.6
S1065,Sara,Williams,student65@university.com,Female,24,Business,50.86,55.42,87.84,60.82,90.62,9.29,53.87,51.42,F,14.9,No,No,Master's,High,10,6.9
S1066,Maria,Williams,student66@university.com,Male,21,Engineering,66.02,97.41,86.45,77.13,58.75,7.3,55.54,62.38,A,17.0,No,Yes,Bachelor's,Low,8,4.0
S1067,Ali,Williams,student67@university.com,Male,18,CS,59.79,58.62,57.78,93.17,94.13,7.6,60.83,62.51,D,19.6,No,Yes,PhD,Low,8,7.2
S1068,Maria,Davis,student68@university.com,Male,23,Engineering,90.65,59.79,80.89,98.35,56.07,3.2,77.42,94.16,A,10.0,No,Yes,PhD,Low,5,7.9
S1069,Emma,Brown,student69@university.com,Male,24,Business,92.24,51.38,82.23,87.41,58.46,4.67,77.89,66.57,A,23.2,No,Yes,None,High,5,7.7
S1070,Sara,Jones,student70@university.com,Male,21,CS,62.93,88.41,73.75,50.28,73.89,8.85,80.31,77.26,B,12.7,No,Yes,High School,High,1,4.9
S1071,Sara,Jones,student71@university.com,Female,23,CS,66.28,56.54,76.04,56.74,97.26,7.86,79.19,91.58,C,21.5,No,Yes,High School,Low,5,6.7
S1072,Ali,Johnson,student72@university.com,Female,21,Engineering,61.81,59.82,74.47,53.81,66.48,6.84,74.76,62.98,B,17.8,Yes,No,PhD,Low,1,6.8
S1073,Sara,Jones,student73@university.com,Male,21,CS,95.42,64.86,44.91,55.06,82.91,0.65,90.1,56.19,A,19.8,Yes,Yes,Bachelor's,High,4,7.3
S1074,Ahmed,Jones,student74@university.com,Female,22,Engineering,75.13,66.02,80.22,69.15,79.43,0.4,96.69,97.42,A,15.3,No,Yes,,Low,7,8.2
S1075,Sara,Williams,student75@university.com,Female,18,CS,82.81,64.68,68.19,66.92,57.48,1.3,63.49,85.23,F,16.1,No,Yes,High School,Low,2,7.5
S1076,Maria,Williams,student76@university.com,Female,21,Engineering,70.77,70.22,66.31,,62.41,5.81,56.51,58.85,A,26.7,No,Yes,,High,1,4.7
S1077,Maria,Davis,student77@university.com,Male,20,CS,81.55,88.87,91.6,94.11,96.51,5.36,71.25,90.99,D,16.9,Yes,Yes,Bachelor's,High,2,4.1
S1078,Omar,Johnson,student78@university.com,Male,23,Engineering,69.29,89.16,41.39,80.77,59.24,9.43,51.32,89.36,A,24.8,No,Yes,Master's,Medium,7,4.7
S1079,Maria,Smith,student79@university.com,Male,24,CS,66.98,87.9,55.08,,84.75,6.95,94.17,91.88,A,14.9,No,Yes,Bachelor's,Low,3,4.2
S1080,Omar,Johnson,student80@university.com,Female,22,CS,81.72,46.07,47.28,,98.23,2.94,61.99,63.81,A,22.5,Yes,Yes,,High,5,6.2
S1081,Maria,Johnson,student81@university.com,Female,23,CS,,87.98,42.12,70.51,55.98,1.61,77.46,72.43,D,10.8,No,Yes,Master's,Low,1,5.4
S1082,Ahmed,Brown,student82@university.com,Male,20,Mathematics,,47.22,56.54,65.88,69.96,8.5,55.75,84.68,A,27.9,No,Yes,,Low,10,4.0
S1083,Liam,Davis,student83@university.com,Male,20,CS,57.47,47.48,99.31,71.92,61.2,4.6,77.66,69.53,D,29.2,No,Yes,Master's,Medium,10,4.4
S1084,Omar,Brown,student84@university.com,Female,21,Business,68.43,96.87,56.21,80.52,61.08,6.53,51.95,53.5,F,27.5,Yes,Yes,,High,10,6.0
S1085,John,Johnson,student85@university.com,Female,20,CS,70.76,89.16,79.82,74.65,55.95,5.65,88.44,56.82,C,13.7,No,Yes,None,Low,8,8.7
S1086,Emma,Johnson,student86@university.com,Male,18,CS,81.43,73.14,47.1,91.9,82.48,1.07,97.77,79.86,C,11.9,No,Yes,Master's,Medium,4,9.0
S1087,Ali,Johnson,student87@university.com,Female,20,Engineering,95.73,92.5,76.11,95.01,87.32,0.57,65.35,68.76,B,9.6,Yes,Yes,PhD,Medium,10,4.3
S1088,Maria,Jones,student88@university.com,Female,21,Engineering,,99.36,99.07,73.48,83.84,3.77,62.91,50.27,C,26.8,No,Yes,PhD,High,2,8.2
S1089,Sara,Brown,student89@university.com,Female,23,Mathematics,,76.64,57.51,61.99,96.23,3.62,72.4,88.34,F,8.0,No,Yes,Bachelor's,Medium,8,6.4
S1090,Liam,Johnson,student90@university.com,Female,20,Mathematics,59.69,76.77,90.88,97.26,57.28,6.74,81.0,70.84,C,21.1,No,Yes,PhD,Medium,10,7.1
S1091,Maria,Williams,student91@university.com,Female,22,Business,75.11,85.27,99.85,86.75,65.99,6.32,59.45,65.69,B,13.3,No,Yes,Bachelor's,Medium,5,6.5
S1092,Sara,Davis,student92@university.com,Female,24,Engineering,71.49,53.93,75.31,82.01,67.23,9.69,90.17,85.68,D,9.7,No,Yes,PhD,Medium,2,8.6
S1093,Emma,Davis,student93@university.com,Female,22,Engineering,86.45,50.03,58.56,87.27,61.6,8.58,59.93,72.76,A,9.6,No,Yes,High School,Low,9,6.4
S1094,Emma,Williams,student94@university.com,Male,22,CS,,85.57,80.41,,57.11,4.97,50.27,84.74,F,26.8,No,Yes,High School,High,6,4.8
S1095,Emma,Davis,student95@university.com,Male,23,Mathematics,79.72,60.69,90.69,53.38,74.34,5.0,76.21,50.66,D,26.5,Yes,Yes,High School,Medium,8,7.9
S1096,Sara,Jones,student96@university.com,Female,19,Engineering,94.19,48.1,50.28,57.66,91.72,6.74,55.76,50.47,A,11.8,No,Yes,High School,Medium,2,6.6
S1097,Maria,Jones,student97@university.com,Female,24,Engineering,95.53,58.89,67.15,57.37,97.73,1.14,84.91,78.0,A,5.8,Yes,Yes,,Medium,5,4.6
S1098,Emma,Smith,student98@university.com,Female,22,CS,97.94,61.52,59.15,71.03,56.47,10.0,58.37,99.11,B,26.7,No,Yes,PhD,Low,3,6.3
S1099,Ahmed,Smith,student99@university.com,Male,22,CS,88.66,97.91,57.0,57.87,91.16,5.19,90.87,63.62,B,6.4,No,Yes,Master's,Medium,8,7.4
S1100,Omar,Smith,student100@university.com,Male,19,Mathematics,95.3,81.88,91.65,92.73,91.23,9.1,73.52,84.14,A,7.1,No,No,Master's,Medium,1,5.5
S1101,Sara,Davis,student101@university.com,Female,23,CS,61.73,71.85,65.3,78.9,69.45,9.67,78.31,58.61,F,25.5,No,Yes,Master's,Low,9,8.6
S1102,Sara,Jones,student102@university.com,Male,24,Engineering,59.88,98.13,60.34,68.41,55.5,5.82,59.33,65.58,F,25.4,No,Yes,High School,Low,6,8.2
S1103,Maria,Jones,student103@university.com,Female,22,CS,50.32,94.19,76.21,53.48,99.5,1.03,57.33,53.9,D,10.1,No,Yes,,Medium,1,6.8
S1104,Sara,Jones,student104@university.com,Female,21,Business,85.34,70.72,53.16,79.55,82.78,5.73,81.56,94.04,A,6.0,No,Yes,PhD,Medium,3,4.3
S1105,Sara,Williams,student105@university.com,Female,23,CS,96.87,94.34,53.79,55.83,99.11,5.98,62.77,65.52,A,6.6,No,Yes,,High,8,6.9
S1106,Emma,Jones,student106@university.com,Female,24,Business,59.35,64.26,71.22,87.16,74.18,7.89,69.3,61.52,D,16.3,Yes,Yes,Bachelor's,Medium,8,6.1
S1107,Maria,Williams,student107@university.com,Female,22,CS,81.85,53.83,64.56,90.14,69.76,0.48,73.97,86.53,F,15.5,No,Yes,High School,Low,3,7.6
S1108,Emma,Smith,student108@university.com,Female,22,Business,87.32,53.96,57.7,77.2,62.36,4.66,61.48,59.97,A,9.6,No,Yes,None,Low,10,5.3
S1109,Omar,Smith,student109@university.com,Female,19,Business,96.38,79.74,43.24,57.48,99.18,9.23,89.77,62.01,B,27.7,Yes,Yes,None,Medium,8,7.0
S1110,Liam,Davis,student110@university.com,Male,24,CS,82.34,70.06,71.25,89.34,62.66,9.91,96.97,55.18,F,18.8,Yes,Yes,None,High,6,6.8
S1111,Omar,Smith,student111@university.com,Female,21,Engineering,98.51,79.54,89.0,65.39,51.19,1.91,71.59,98.14,B,25.2,No,Yes,PhD,Low,7,6.6
S1112,Liam,Davis,student112@university.com,Male,23,CS,67.23,81.16,91.08,61.13,75.62,8.71,95.88,62.38,B,7.6,No,Yes,Bachelor's,Medium,2,4.6
S1113,Emma,Johnson,student113@university.com,Female,20,CS,67.5,41.34,54.13,73.53,68.85,1.46,94.13,99.78,C,29.3,Yes,Yes,High School,Low,1,6.4
S1114,Omar,Johnson,student114@university.com,Female,18,Business,77.15,43.24,75.98,96.13,63.07,8.41,58.3,58.81,C,25.2,No,Yes,,Low,1,6.8
S1115,Maria,Brown,student115@university.com,Male,21,Engineering,69.18,71.96,91.35,64.87,81.73,2.77,58.67,51.03,B,12.2,No,Yes,,Medium,3,8.6
S1116,Ali,Davis,student116@university.com,Male,20,CS,50.07,51.46,64.52,95.28,68.21,9.6,73.87,94.78,D,5.5,Yes,Yes,Master's,Medium,7,6.3
S1117,Emma,Brown,student117@university.com,Female,21,CS,,77.95,95.93,52.68,70.11,6.95,76.29,79.0,B,9.1,No,Yes,High School,Low,9,7.2
S1118,Liam,Brown,student118@university.com,Male,24,CS,87.59,73.13,94.18,54.18,51.15,3.99,67.06,67.57,B,15.5,No,Yes,High School,High,2,6.8
S1119,Ahmed,Johnson,student119@university.com,Female,20,Business,87.35,75.15,52.49,84.93,79.45,2.81,65.65,75.67,A,5.1,No,Yes,None,Medium,6,5.0
S1120,Liam,Davis,student120@university.com,Female,24,CS,67.25,58.15,55.54,59.53,56.1,2.35,71.57,63.04,B,6.0,Yes,Yes,,Medium,8,4.9
S1121,Ahmed,Johnson,student121@university.com,Male,20,Mathematics,76.11,78.39,50.83,65.83,60.69,6.81,84.52,81.74,C,7.5,Yes,Yes,None,Medium,9,7.7
S1122,Sara,Brown,student122@university.com,Male,21,Mathematics,68.0,89.77,51.76,56.82,85.86,8.96,54.22,80.82,B,25.2,No,Yes,,Low,10,6.6
S1123,Omar,Davis,student123@university.com,Male,19,CS,50.8,99.88,94.47,66.61,65.66,7.55,85.53,54.01,D,18.7,Yes,Yes,PhD,High,3,8.5
S1124,Ahmed,Brown,student124@university.com,Male,21,CS,78.12,90.31,95.87,64.02,58.16,8.35,96.31,95.53,D,9.8,Yes,Yes,PhD,Medium,5,8.5
S1125,Liam,Jones,student125@university.com,Female,24,Business,56.19,73.45,43.11,86.82,78.87,7.81,88.18,73.03,C,11.6,No,Yes,Bachelor's,High,5,5.5
S1126,Sara,Davis,student126@university.com,Male,21,CS,54.0,51.61,75.62,85.1,60.75,9.79,59.58,59.76,F,21.1,Yes,Yes,,Low,8,4.5
S1127,Ali,Davis,student127@university.com,Male,20,CS,87.77,80.89,73.85,97.75,63.55,7.58,54.37,65.37,A,13.0,No,Yes,Bachelor's,High,1,5.7
S1128,Maria,Brown,student128@university.com,Male,18,CS,50.48,96.26,63.43,86.22,81.07,2.1,74.52,93.31,D,22.1,No,Yes,PhD,Low,3,4.3
S1129,Maria,Jones,student129@university.com,Male,20,Engineering,97.95,52.71,77.9,84.74,86.99,7.92,97.82,69.16,A,24.5,Yes,No,Master's,Low,6,7.9
S1130,Maria,Williams,student130@university.com,Male,22,Business,75.76,55.36,96.84,84.71,86.98,3.22,90.95,78.1,A,12.7,Yes,Yes,High School,Low,6,4.7
S1131,Ahmed,Johnson,student131@university.com,Female,21,CS,99.15,48.94,50.22,94.15,74.11,9.96,78.14,97.38,A,14.2,No,Yes,PhD,High,4,8.3
S1132,Ali,Brown,student132@university.com,Female,23,CS,52.9,84.2,47.22,64.81,72.71,3.77,57.15,82.59,D,6.3,No,Yes,,Low,5,6.1
S1133,Ahmed,Davis,student133@university.com,Male,21,Mathematics,79.18,64.39,42.0,,89.38,2.93,85.69,83.79,D,25.5,No,Yes,Master's,Medium,10,5.4
S1134,Omar,Johnson,student134@university.com,Male,19,Business,67.47,43.76,61.83,87.06,59.65,2.39,90.65,62.43,A,20.2,No,Yes,None,Low,3,6.5
S1135,Ahmed,Johnson,student135@university.com,Female,24,Engineering,92.17,92.5,60.26,61.44,57.61,6.59,96.75,83.41,A,27.2,No,Yes,Master's,Low,4,7.0
S1136,Ali,Johnson,student136@university.com,Male,23,Business,,73.46,65.85,95.6,83.23,1.09,80.61,69.69,F,9.7,Yes,Yes,PhD,Medium,10,7.5
S1137,Ali,Williams,student137@university.com,Female,20,Engineering,63.02,59.87,70.2,76.74,70.48,9.54,75.72,95.55,C,29.0,No,Yes,,High,10,5.7
S1138,Omar,Smith,student138@university.com,Female,19,Business,92.88,60.64,85.47,,85.5,2.94,80.96,56.48,A,22.7,No,Yes,,Low,1,8.9
S1139,Ali,Brown,student139@university.com,Male,21,CS,68.73,57.42,63.53,88.8,62.83,2.95,97.16,64.28,D,9.9,Yes,Yes,,Medium,6,6.1
S1140,Liam,Smith,student140@university.com,Female,20,CS,50.84,67.33,59.84,65.62,66.24,0.46,81.41,53.3,D,16.6,No,Yes,Bachelor's,Medium,5,8.2
S1141,Ali,Smith,student141@university.com,Male,20,Business,69.51,60.22,89.61,98.16,94.83,2.46,62.88,69.05,B,22.5,No,Yes,,Low,5,4.2
S1142,Maria,Smith,student142@university.com,Male,22,Engineering,82.73,72.88,90.99,,71.08,4.19,81.81,57.42,A,5.4,No,Yes,,High,4,7.9
S1143,Liam,Johnson,student143@university.com,Female,22,Mathematics,62.72,86.41,53.97,83.34,79.55,3.7,93.99,92.26,B,24.5,Yes,Yes,PhD,Medium,9,6.8
S1144,Liam,Jones,student144@university.com,Female,18,CS,71.6,80.47,58.88,55.68,55.33,2.73,78.35,96.25,D,28.7,No,Yes,Bachelor's,High,9,7.2
S1145,Omar,Johnson,student145@university.com,Male,22,Mathematics,52.84,57.67,89.51,63.16,58.94,0.41,75.13,83.47,F,7.0,No,Yes,None,Low,5,5.9
S1146,John,Johnson,student146@university.com,Female,24,Mathematics,79.4,71.72,44.76,75.77,51.79,3.01,86.67,55.17,F,27.5,No,Yes,Bachelor's,Low,7,6.7
S1147,John,Davis,student147@university.com,Male,23,CS,87.81,90.41,59.55,92.57,71.22,7.78,83.05,67.08,A,16.6,No,Yes,Bachelor's,Medium,3,8.7
S1148,Ali,Davis,student148@university.com,Female,20,Business,70.67,44.09,66.9,59.24,99.45,4.39,52.83,98.22,D,17.9,No,Yes,,High,1,5.9
S1149,Liam,Smith,student149@university.com,Female,22,Engineering,71.01,44.7,51.22,55.22,93.69,2.91,86.27,56.82,C,26.0,No,Yes,PhD,Low,1,4.5
S1150,John,Johnson,student150@university.com,Male,18,Mathematics,54.41,73.37,50.79,53.72,81.65,3.05,70.38,77.82,C,19.7,No,Yes,High School,Low,3,7.6
S1151,John,Smith,student151@university.com,Male,21,Engineering,60.1,78.35,65.49,75.35,93.05,5.54,97.04,67.65,A,13.8,No,Yes,PhD,Medium,3,6.5
S1152,Ali,Davis,student152@university.com,Male,23,Business,57.73,52.68,85.27,94.24,79.71,3.02,98.54,99.96,C,23.3,No,Yes,PhD,Low,5,6.1
S1153,John,Jones,student153@university.com,Female,22,Engineering,74.08,84.71,90.41,52.12,68.44,6.31,72.44,64.27,D,8.5,Yes,Yes,None,Medium,8,7.9
S1154,Ahmed,Brown,student154@university.com,Male,20,CS,76.46,78.78,98.75,60.62,58.68,9.89,98.44,52.39,A,21.7,No,Yes,None,Low,6,6.8
S1155,Sara,Smith,student155@university.com,Male,21,CS,,95.4,44.44,84.66,82.65,0.41,65.54,85.11,F,24.4,No,Yes,None,Medium,8,7.2
S1156,Omar,Jones,student156@university.com,Female,24,Engineering,53.66,50.14,53.0,91.29,59.65,1.69,84.13,66.34,D,13.4,No,Yes,High School,High,7,8.6
S1157,Sara,Brown,student157@university.com,Female,20,Business,79.99,85.08,85.4,90.37,70.87,1.79,53.75,82.88,B,29.3,No,Yes,Bachelor's,Low,1,4.3
S1158,Ali,Williams,student158@university.com,Male,21,Engineering,76.32,45.02,72.44,89.25,91.29,4.47,57.25,55.23,F,21.0,Yes,Yes,High School,High,10,5.3
S1159,Maria,Smith,student159@university.com,Male,24,Engineering,75.81,73.92,59.66,56.49,56.46,0.41,93.23,76.15,D,7.4,Yes,Yes,Bachelor's,Low,8,8.5
S1160,Omar,Smith,student160@university.com,Male,24,CS,93.66,73.11,52.34,69.86,56.45,4.78,94.69,68.76,A,29.2,No,Yes,High School,Medium,1,8.0
